player,turn,p1_draws,p2_draws,hand,ev_bucket,opp_bound,stop_prob,draw_prob,visits,forced
1,0,0,0,1-1-1-1,0,10,1.0,0.0,50,STOP
1,0,0,0,1-1-1-10,3,10,0.002712854757929883,0.9972871452420701,2396,
1,0,0,0,1-1-1-2,0,10,1.0,0.0,564,STOP
1,0,0,0,1-1-1-3,0,10,1.0,0.0,570,STOP
1,0,0,0,1-1-1-4,0,10,0.24919871794871795,0.750801282051282,624,
1,0,0,0,1-1-1-5,1,10,0.61,0.39,650,
1,0,0,0,1-1-1-6,1,10,0.8487318840579711,0.151268115942029,552,
1,0,0,0,1-1-1-7,1,10,0.7481949458483754,0.2518050541516246,554,
1,0,0,0,1-1-1-8,2,10,0.0849872577584101,0.9150127422415899,584,
1,0,0,0,1-1-1-9,3,10,0.13079885999295737,0.8692011400070427,606,
1,0,0,0,1-1-10-10,3,10,1.8519890362249054e-05,0.9999814801096377,26998,
1,0,0,0,1-1-2-10,3,10,0.007315729373401076,0.992684270626599,14148,
1,0,0,0,1-1-2-2,0,10,0.5,0.5,1322,
1,0,0,0,1-1-2-3,0,10,0.9809814169570267,0.019018583042973287,3444,
1,0,0,0,1-1-2-4,0,10,0.2738585343297446,0.7261414656702554,3438,
1,0,0,0,1-1-2-5,1,10,0.8965468837731612,0.10345311622683885,3562,
1,0,0,0,1-1-2-6,1,10,0.6023365013986612,0.3976634986013388,3576,
1,0,0,0,1-1-2-7,1,10,0.2345005195577436,0.7654994804422565,3542,
1,0,0,0,1-1-2-8,2,10,0.12884584145064915,0.8711541585493509,3626,
1,0,0,0,1-1-2-9,3,10,0.033539441633876524,0.9664605583661234,3558,
1,0,0,0,1-1-3-10,3,10,0.0003126302626094206,0.9996873697373906,14394,
1,0,0,0,1-1-3-3,0,10,0.9666427546628408,0.03335724533715925,1394,
1,0,0,0,1-1-3-4,0,10,0.9736517803051197,0.026348219694880284,3524,
1,0,0,0,1-1-3-5,1,10,0.8842203172659986,0.1157796827340014,3534,
1,0,0,0,1-1-3-6,1,10,0.6916642226280968,0.30833577737190315,3722,
1,0,0,0,1-1-3-7,1,10,0.9890105110071374,0.010989488992862452,3450,
1,0,0,0,1-1-3-8,2,10,0.5446622857401581,0.4553377142598419,3700,
1,0,0,0,1-1-3-9,3,10,0.08874575274951636,0.9112542472504837,3594,
1,0,0,0,1-1-4-10,3,10,0.002592966628194495,0.9974070333718055,14188,
1,0,0,0,1-1-4-4,0,10,0.9989436619718309,0.001056338028169014,1420,
1,0,0,0,1-1-4-5,1,10,0.9895129449288885,0.01048705507111145,3606,
1,0,0,0,1-1-4-6,1,10,0.968087948857342,0.03191205114265803,3428,
1,0,0,0,1-1-4-7,1,10,0.9943997702469844,0.005600229753015508,3482,
1,0,0,0,1-1-4-8,2,10,0.1827629828975222,0.8172370171024778,3346,
1,0,0,0,1-1-4-9,3,10,0.06839721433480356,0.9316027856651965,3532,
1,0,0,0,1-1-5-10,3,10,0.00024191318772463368,0.9997580868122754,14468,
1,0,0,0,1-1-5-5,1,10,0.9968309859154929,0.0031690140845070424,1420,
1,0,0,0,1-1-5-6,1,10,0.511693582167033,0.4883064178329669,3670,
1,0,0,0,1-1-5-7,1,10,0.9998630136986302,0.000136986301369863,3650,
1,0,0,0,1-1-5-8,2,10,0.25054492939753287,0.7494550706024672,3772,
1,0,0,0,1-1-5-9,3,10,0.0006856829402084476,0.9993143170597916,3646,
1,0,0,0,1-1-6-10,3,10,3.5536602700781806e-05,0.9999644633972992,14070,
1,0,0,0,1-1-6-6,1,10,0.9855724143477215,0.01442758565227854,1358,
1,0,0,0,1-1-6-7,1,10,0.9459720041963002,0.054027995803699776,3572,
1,0,0,0,1-1-6-8,2,10,0.5487441783658844,0.45125582163411565,3484,
1,0,0,0,1-1-6-9,3,10,0.0015607264472190692,0.998439273552781,3524,
1,0,0,0,1-1-7-10,3,10,0.0008685242961807435,0.9991314757038192,14286,
1,0,0,0,1-1-7-7,2,10,0.9996301775147929,0.0003698224852071006,1352,
1,0,0,0,1-1-7-8,2,10,0.020742038154737862,0.9792579618452621,3678,
1,0,0,0,1-1-7-9,3,10,0.00347745089695216,0.9965225491030479,3490,
1,0,0,0,1-1-8-10,3,10,0.0003943783163631149,0.9996056216836369,13946,
1,0,0,0,1-1-8-8,2,10,0.16634461553622368,0.8336553844637763,1330,
1,0,0,0,1-1-8-9,3,10,0.02390557217253859,0.9760944278274615,3428,
1,0,0,0,1-1-9-10,3,10,3.4969925863757166e-05,0.9999650300741363,14298,
1,0,0,0,1-1-9-9,3,10,0.05011647623259291,0.9498835237674071,1284,
1,0,0,0,1-10-10-10,4,10,0.0,1.0,83786,DRAW
1,0,0,0,1-2-10-10,3,10,4.957928435844406e-05,0.9999504207156416,70594,
1,0,0,0,1-2-2-10,3,10,3.5501278046009656e-05,0.999964498721954,14084,
1,0,0,0,1-2-2-2,0,10,0.4148148148148118,0.5851851851851883,540,
1,0,0,0,1-2-2-3,0,10,0.3878176184714513,0.6121823815285488,3508,
1,0,0,0,1-2-2-4,0,10,0.7655862199911375,0.23441378000886248,3452,
1,0,0,0,1-2-2-5,1,10,0.9672872974064503,0.03271270259354968,3494,
1,0,0,0,1-2-2-6,1,10,0.8739185890610691,0.12608141093893088,3494,
1,0,0,0,1-2-2-7,1,10,0.36635400303487514,0.6336459969651249,3586,
1,0,0,0,1-2-2-8,2,10,0.19658894416137074,0.8034110558386293,3496,
1,0,0,0,1-2-2-9,3,10,0.025349493454639653,0.9746505065453603,3632,
1,0,0,0,1-2-3-10,3,10,0.00035323669475116436,0.9996467633052488,38218,
1,0,0,0,1-2-3-3,0,10,0.9995726495726496,0.00042735042735042735,3510,
1,0,0,0,1-2-3-4,0,10,0.9661657316335153,0.03383426836648471,9392,
1,0,0,0,1-2-3-5,1,10,0.9921551818137251,0.007844818186274964,9326,
1,0,0,0,1-2-3-6,1,10,0.9570260204606289,0.04297397953937107,9434,
1,0,0,0,1-2-3-7,1,10,0.9448364685235938,0.0551635314764061,9622,
1,0,0,0,1-2-3-8,2,10,0.22993326575074127,0.7700667342492586,9490,
1,0,0,0,1-2-3-9,3,10,0.02638917434611643,0.9736108256538835,9894,
1,0,0,0,1-2-4-10,3,10,3.925262992620505e-05,0.9999607473700738,38214,
1,0,0,0,1-2-4-4,0,10,0.9792457948996202,0.020754205100379782,3686,
1,0,0,0,1-2-4-5,1,10,0.9852869571959323,0.01471304280406778,9262,
1,0,0,0,1-2-4-6,1,10,0.8868953038048603,0.11310469619513973,9300,
1,0,0,0,1-2-4-7,1,10,0.9297075466150516,0.07029245338494834,9360,
1,0,0,0,1-2-4-8,2,10,0.3927746428701856,0.6072253571298144,9318,
