player,turn,p1_draws,p2_draws,hand,ev_bucket,stop_prob,draw_prob,visits,forced
1,0,0,0,1-1-1-1,0,1.0,0.0,44,STOP
1,0,0,0,1-1-1-10,3,0.09625788999098286,0.9037421100090172,2218,
1,0,0,0,1-1-1-2,0,1.0,0.0,564,STOP
1,0,0,0,1-1-1-3,0,1.0,0.0,590,STOP
1,0,0,0,1-1-1-4,0,0.5,0.5,590,
1,0,0,0,1-1-1-5,1,0.8498427672955975,0.1501572327044025,636,
1,0,0,0,1-1-1-6,1,0.5501618122977346,0.44983818770226536,618,
1,0,0,0,1-1-1-7,1,0.42043848125747146,0.5795615187425285,554,
1,0,0,0,1-1-1-8,2,0.0897239263803681,0.9102760736196319,652,
1,0,0,0,1-1-1-9,3,0.20277777777777778,0.7972222222222223,540,
1,0,0,0,1-1-10-10,3,1.893078903528699e-05,0.9999810692109647,26412,
1,0,0,0,1-1-2-10,3,0.008233102320830158,0.9917668976791698,14070,
1,0,0,0,1-1-2-2,0,0.5,0.5,1282,
1,0,0,0,1-1-2-3,0,0.9909534750143596,0.009046524985640436,3482,
1,0,0,0,1-1-2-4,0,0.914699269252389,0.08530073074761102,3558,
1,0,0,0,1-1-2-5,1,0.3410219243049055,0.6589780756950946,3576,
1,0,0,0,1-1-2-6,1,0.460431960043825,0.539568039956175,3626,
1,0,0,0,1-1-2-7,1,0.0006998880179171332,0.9993001119820829,3572,
1,0,0,0,1-1-2-8,2,0.15887604148877796,0.841123958511222,3572,
1,0,0,0,1-1-2-9,3,0.020212155963302728,0.9797878440366973,3488,
1,0,0,0,1-1-3-10,3,0.00166050282798512,0.9983394971720149,14054,
1,0,0,0,1-1-3-3,0,0.7153328924162263,0.28466710758377367,1404,
1,0,0,0,1-1-3-4,0,0.9946808510638298,0.005319148936170213,3478,
1,0,0,0,1-1-3-5,1,0.8721890943272987,0.12781090567270126,3576,
1,0,0,0,1-1-3-6,1,0.9257679394024785,0.0742320605975215,3542,
1,0,0,0,1-1-3-7,1,0.6076751194996601,0.39232488050034,3494,
1,0,0,0,1-1-3-8,2,0.09577789816011407,0.9042221018398859,3530,
