P1 Strategy,P2 Strategy,P1 Win Rate,P2 Win Rate,Avg Turns,Stop Rate,P1 Stop Rate,P2 Stop Rate,Avg P1 Sum,Avg P2 Sum,Games
AlwaysDraw,AlwaysDraw,0.45342,0.54658,20.0,0.0,0.0,0.0,8.77888,8.78992,50000
AlwaysDraw,EVGap-1,0.51694,0.48306,13.46184,0.51888,0.0,0.51888,11.0344,10.74532,50000
AlwaysDraw,StopAtOrBelow13,0.60834,0.39166,10.69516,0.89142,0.0,0.89142,11.53858,11.89544,50000
AlwaysDraw,WinProb55,0.49532,0.50468,14.44284,0.46706,0.0,0.46706,10.6702,10.2717,50000
EVGap-1,AlwaysDraw,0.4864,0.5136,10.8412,0.62104,0.62104,0.0,11.90828,12.80788,50000
EVGap-1,EVGap-1,0.50238,0.49762,7.80708,0.81794,0.50684,0.3111,13.4033,13.89694,50000
EVGap-1,StopAtOrBelow13,0.54098,0.45902,6.67278,0.95936,0.48246,0.4769,13.7481,14.3944,50000
EVGap-1,WinProb55,0.49582,0.50418,8.29814,0.7963,0.52266,0.27364,13.15302,13.62768,50000
StopAtOrBelow13,AlwaysDraw,0.45654,0.54346,9.80192,0.88972,0.88972,0.0,11.90684,12.50748,50000
StopAtOrBelow13,EVGap-1,0.50736,0.49264,7.45936,0.94752,0.62372,0.3238,13.05626,13.66638,50000
StopAtOrBelow13,StopAtOrBelow13,0.53352,0.46648,6.85896,0.98836,0.53544,0.45292,13.18178,13.85112,50000
StopAtOrBelow13,WinProb55,0.49346,0.50654,7.78806,0.94236,0.6627,0.27966,12.87686,13.38392,50000
WinProb55,AlwaysDraw,0.48816,0.51184,11.77278,0.56102,0.56102,0.0,11.51102,12.43956,50000
WinProb55,EVGap-1,0.5014,0.4986,8.2717,0.7941,0.46022,0.33388,13.14682,13.62966,50000
WinProb55,StopAtOrBelow13,0.55104,0.44896,7.03928,0.9522,0.43312,0.51908,13.48708,14.18478,50000
WinProb55,WinProb55,0.49964,0.50036,8.81436,0.769,0.4774,0.2916,12.87404,13.36956,50000
